ano,escola,tipo,jurado_1,jurado_2,jurado_3,jurado_4
1968,Independentes do Leblon,ALEGORIAS E ADEREÇOS,5.0,,,
1968,Estácio de Sá,ALEGORIAS E ADEREÇOS,6.0,,,
1968,Unidos de Lucas,ALEGORIAS E ADEREÇOS,7.0,,,
1968,Unidos de Vila Isabel,ALEGORIAS E ADEREÇOS,5.0,,,
1968,Portela,ALEGORIAS E ADEREÇOS,10.0,,,
1968,Estação Primeira de Mangueira,ALEGORIAS E ADEREÇOS,8.0,,,
1968,Acadêmicos do Salgueiro,ALEGORIAS E ADEREÇOS,7.0,,,
1968,Império da Tijuca,ALEGORIAS E ADEREÇOS,1.0,,,
1968,Império Serrano,ALEGORIAS E ADEREÇOS,10.0,,,
1968,Mocidade Independente de Padre Miguel,ALEGORIAS E ADEREÇOS,10.0,,,
1968,Independentes do Leblon,BATERIA,6.0,,,
1968,Estácio de Sá,BATERIA,7.0,,,
1968,Unidos de Lucas,BATERIA,8.0,,,
1968,Unidos de Vila Isabel,BATERIA,7.0,,,
1968,Portela,BATERIA,9.0,,,
1968,Estação Primeira de Mangueira,BATERIA,10.0,,,
1968,Acadêmicos do Salgueiro,BATERIA,10.0,,,
1968,Império da Tijuca,BATERIA,6.0,,,
1968,Império Serrano,BATERIA,10.0,,,
1968,Mocidade Independente de Padre Miguel,BATERIA,10.0,,,
1968,Independentes do Leblon,COMISSÃO DE FRENTE,5.0,,,
1968,Estácio de Sá,COMISSÃO DE FRENTE,7.0,,,
1968,Unidos de Lucas,COMISSÃO DE FRENTE,10.0,,,
1968,Unidos de Vila Isabel,COMISSÃO DE FRENTE,3.0,,,
1968,Portela,COMISSÃO DE FRENTE,9.0,,,
1968,Estação Primeira de Mangueira,COMISSÃO DE FRENTE,10.0,,,
1968,Acadêmicos do Salgueiro,COMISSÃO DE FRENTE,9.0,,,
1968,Império da Tijuca,COMISSÃO DE FRENTE,3.0,,,
1968,Império Serrano,COMISSÃO DE FRENTE,10.0,,,
